benefit - benefit
Company,welfare
品威電子國際股份有限公司,勞保，健保，退休金，業績獎金，週休二日，年終獎金
台灣愛渠西來技術股份有限公司,"我們提供 勞保 / 健保 / 退休金6%提撥 / 商業保險(員工本人配偶及子女)
年薪結構為 本薪12個月 + 1個月年終 + 考核獎金，絕對優於市場水平
年假比照台灣勞基法，帶薪病假10天，優於台灣勞基法
提供 網路費補助 及 電話費補助，因為疫情或工作需求需要在家工作的員工"
錠嵂保險經紀人股份有限公司_台北營業處(劉祐瑋),"◆獎勵
1.高績效獎勵
2.年度獎金
3.主任特別津貼
4.襄理特別津貼
5.經理特別津貼
6.夏季大賽獎勵
7.冬季大賽獎勵
8.競賽獎勵
9.績優人員海內外旅遊

◆教育訓練
錠嵂EMBA課程-四大系統
1.業務階段-卓越行銷系統
2.主任階段-領導統馭系統
3.襄理階段-組織創造系統
4.經理階段-文化願景系統
5.充電會
6.講師訓
7.CEO培訓計畫-三個月紮實的業務培訓(需經甄選及面試通過)
8.專案課程培訓"
富邦人壽保險股份有限公司_南創通訊處(李晃任)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
信邦電子股份有限公司,"【有溫度的公司，照顧到你的心坎裡】
年終獎金、一年兩次績效獎金、年度調薪，提供符合你身價的薪資
完整的保險制度，勞健保外提供團保，讓你的眷屬也可以一起納保
生日、三節及婚喪喜慶，提供禮券或禮金，陪伴你度過重要的日子

【注重人才不是口號，給你舞台好發展】
新進人員集中訓練，加上良師益友帶領，讓你快速融入信邦大家庭
每年計劃性教育訓練體系與費用補助，幫助你不斷提升工作的技能
管理職能課程及儲備人員訓練班，只要你有能力，信邦全力幫助你

【健康快樂的工作，work-life balance!】
依法給予各種假別外，優於法定之休假，讓你能彈性安排你的假期
每年組織國內外員工旅遊，想要跟團出遊或是自住旅行都不是問題
關心你的健康，每年健康檢查外，還有多樣的社團及運動優惠補助"
凌華科技股份有限公司,"為了給員工一個更加舒適的辦公環境，凌華將在2021年第三季遷廠至華亞科技園區，我們也同步新增了幾項特別的福利項目，希望所有凌華的員工都能快樂工作，認真生活！相關福利請見"" Join us! 為何要加入凌華 https://pse.is/UKECY ""，或點選右方「Why ADLINK」圖片，讓小機器人帶你瀏覽更多福利喔！

關於工作環境的事:
-明亮寬敞的辦公空間，讓你工作起來輕鬆不壓迫
-美式風格吧檯區及沙發區，不管聊天還是討論工作都超放鬆
-膠囊咖啡機隨時Stand by，讓你的早晨不再昏昏欲睡
-休息區各式報章雜誌，休息之餘也能吸收新知
-設備完善的集乳室、醫務室，讓你工作起來好放心

關於員工身心關懷的事:
除了工作上的成果，我們也非常重視員工健康與生活品質的維持，2016至今，凌華科技為教育部體育署認證之運動企業，更於2019、2020年獲得康健雜誌「CHR 健康企業公民許諾企業標章」及遠見雜誌「運動企業認證」，我們不只關心您的工作成果，更關心您的身心健康

我們提供:
-多采多姿的社團活動，我們有:各種球類、慢跑、游泳、活力有氧、皮拉提斯、釣蝦、玩茶、潛水、機器人研習、咖啡甜點社等，下班後也能揪同事一起High
-不定期舉辦瑜珈、芳療按摩等活動，讓你工作之餘也能深呼吸放輕鬆
-理財、生活、親子、旅遊、手作等不同達人講堂不間斷的吸收新知，是你心靈成長的好機會
-部門聯誼運動賽事，讓你邊運動還能交到新朋友
-專職廠護及職醫定期駐廠提供專業諮詢，廠護不定期舉辦健康關懷活動，關心您的健康
-年度健康檢查，安排特約醫院提供同仁各類體檢項目，並提供同仁健檢假，定期檢查好安心

關於福利的事:
-定期舉辦國外員工旅遊、走透透台灣之國內一日遊二日遊等旅遊團，一起帶著家人去旅行
-節慶舉辦同樂活動，還有歡樂的Year-end party，過節絕對不孤單
-提供中秋、端午禮金與禮品、結婚禮金、生日禮金、生育禮金、葬儀慰問金、傷病慰問金、急難救助金等
-特約廠商、團購優惠、藝文票券優惠等等，好康拿不完
-特約糼稚園，讓育兒父母好放心
-提供子女教育獎學金每學期一次
-凌華教育基金會志工活動，提供子女免費至上海、青藏體驗不同的生命教育
-視障按摩師提供專業按摩服務，讓你工作之餘也能放鬆筋骨
-到職滿三個月即可使用特休假(優於勞基法)
-生日當月享生日假一天
-補班日不需補班
-五日不扣薪病假

關於保險及獎金的事: 
-基本勞保健保不會少，還有團體保險及眷屬保險，讓你有更多保障
-優渥的內部推薦獎金，歡迎你推薦你的神人朋友一起加入我們
-年終獎金及分紅制度

關於職涯發展的事:
-完善教育訓練體系，工作快速上手不用怕
-施行完善的職級系統，定期績效考核及透明的升遷制度，職涯發展有保障
-員工生涯規劃，菁英培訓計畫培育具國際觀的領導人才

準備一起進入凌華
充滿熱忱的科技夥伴
勇於挑戰的業務夥伴
特殊專業的技術夥伴
熱情就是你的翅膀，讓我們在凌華昂首高飛

若您想加入我們，歡迎主動投遞履歷，讓我們可以更認識你，有合適者，我們將會主動通知。

Join us！為何要加入凌華？
https://pse.is/UKECY"
神通資訊科技股份有限公司,"◆符合勞基法之健全員工制度

◆多重節日禮券
 -生日禮券
 -三節禮券
 -員工優惠票券訂購

◆鼓勵工作與生活平衡
-家庭關懷補助(結婚/生育補助；員工子女獎學金)
-國內外旅遊補助
-不定期福利活動:電影包場活動/員工家庭日
-多元社團活動
-神通市集

◆經營成果與員工分享
-年度績效獎金
-員工分紅

◆注重員工職涯發展
-內部各式訓練課程提供
-外部訓練補助
-菁英人才訓練計畫

◆員工協助方案
-急難救助貸款
-無息購車/購屋之優惠貸款

◆落實員工健康管理
-健身房設置
-兩年一次員工健檢
-定期醫師駐診及護理師隨時服務"
D-Link_友訊科技股份有限公司,"1. 週休二日，彈性上下班 1.5 小時
2. 員工免費之團體保險，並補助員工眷屬加保
3. 年終獎金、績效獎金、員工分紅等多元化獎金
4. 免費定期員工健康檢查，協助同仁了解自身身體情況
5. 設置員工餐廳、補助同仁餐費，並提供多樣而豐富的餐飲服務
6. 提供各職能訓練學程及舉辦生活講座
7. 優於勞基法的假勤制度：
   ◎員工到職日起享有 3 日預支特別休假
   ◎每年享有 5 日全薪病假 (含生理假)
   ◎每年享有 3 日全薪家庭照顧假
8. 職工福利委員會提供多采多姿的員工活動：
   ◎提供各式年節禮金、禮券、禮品
   ◎安排員工戶外活動，放鬆心情，增進員工情誼 
   ◎公司社團將近20個，每年補助社團經費上百萬元，讓員工依自我興趣，與同好相互學習成長"
明基電通股份有限公司,"明基BenQ 落實企業以人為本及關懷社會的價值觀，推動企業社會責任、發揚品牌精神，積極打造幸福企業，提供同仁優良、友善的工作環境。正因關懷社會是明基BenQ的核心價值觀之一，你我每一位同仁更是公司打造BenQ品牌事業最重要的資產，因此特別重視員工關懷以及培訓。提供同仁無後顧之憂、能夠充分發揮己身價值的工作環境，不僅提昇品牌的競爭力，更讓同仁從中得到成就感；工作不僅是物質的報酬，更獲得心靈的滿足與幸福。

明基BenQ紮實的教育訓練計畫，系統化、多樣化的課程加上內部、外部講師交互搭配運用，都是要讓同仁的學習效果更好，輔以公司內完善的教育訓練體系做後盾，完成明基BenQ 為所有同仁勾勒的學習地圖。

• 薪資、獎金制度
具市場競爭力的薪資水準，另有年度績效獎金、三節獎金。

• 明基BenQ Learning 
-完整教育訓練：提供市場\數位\內容行銷、設計思考、商業模式課程、品牌\實務工作坊及多方面的專業課程，個人學習計畫、集團公司新人訓，不打烊的各類e-Learning課程。 
-精彩生活講座：數位行銷、正向力、旅遊及健康等講座，工作之餘也能調解身心與吸收新知。

• 明基BenQ Life
-體貼完善設施：員工餐廳、舒壓室、物理治療室、盲人按摩、哺乳室、多功能運動場、健身設備。
-健全福利&保險制度：勞健保、團保、員工健檢、生育、傷病、住院及婚喪禮金補助。
-旅遊活動、集團產品特惠選購、各類社團活動、電影欣賞、藝文系列活動
"
協益電子股份有限公司,"「獎 金 福 利」：
加班費、年節獎金、員工生日禮金、年終獎金、三節獎金
「休 假 福 利」：
週休二日、男性員工陪產假、育嬰假、生理假、年假
「保 險 福 利」：
勞保、健保、員工體檢、勞退提撥金
「餐 飲 福 利」：
員工餐廳、伙食費
「衣 著 福 利」：
員工制服
「交 通 福 利」：
上下班交通車
「娛 樂 福 利」：
自強活動、國內旅遊
「補 助 福 利」：
員工結婚補助、生育補助、員工在職教育訓練、員工購置電腦及其他相關設備之低利貸款或補助、員工及眷屬喪葬補助"
富邦人壽保險股份有限公司_富德通訊處(核准文號110A01號),"行銷專員(含)以上職級享:
1.勞基法保障、健保、團保(員工本人公單保費 由公司全額負擔)、休假制度、各類行銷津貼、 增員獎金、年終獎金、節慶獎金、業務競賽獎 勵及其旅遊活動;
2.富邦以照顧員工權益、善 盡社會責任為經營目標，提供員工產假天數優 於法令規定、生育補助、0~6歲子女育兒補助等 福利措施。"
富邦人壽_花權通訊處(核准文號110A01號)(邱世民),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_中龍通訊處(卓煜勝)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
寶島鐘錶股份有限公司,"1. 享員工團體保險    
2. 完整的定期教育訓練(門市講習/技術培訓課程/定期技術鑑定......)    
3. 制服補貼    
4. 年節禮金、結婚禮金、生育禮金、生日禮金......
5. 年終獎金、門市銷售獎金、不定期銷售競賽獎金   
6. 員工旅遊    
7. 員工內部投資 
8. 行政人員週休二日
9. 門市人員配合營業時間彈性排班，月休8天"
財團法人伊甸社會福利基金會,"◆保險類
	*員工團保(住院醫療、癌症醫療)
◆休假類
        *員工旅遊假
        *教育訓練假
◆補助類
	*婚喪喜慶補助
        *教育訓練費用補助
◆其他：
        *本會比照勞動相關法令辦理"
德州儀器工業股份有限公司,"▪ 特休：到職第一年即享有13天特休(依比例給予)及2天彈性休假
▪ 保險：除勞健保外，公司另提供員工團體保險
▪ 健康：設有員工醫護室提供健康諮詢、定期員工健康檢查，主動關心照顧員工健康
▪ 餐廳：中和封裝測試廠內員工餐廳設有自助餐、麵食、快餐及咖啡廳，並提供餐飲補助
▪ 福利：豐富優渥的各式福利項目：含保齡球活動、KTV歡唱、盲人按摩、名人演講、年節及生日點數、婚喪禮金、員工聯誼及各項親子康樂等活動。
▪ 員工協助方案(EAP)：提供員工心理諮商服務，給予員工身心靈的全方位照顧。
▪ 教育訓練：鼓勵員工從事課程訓練及在職進修教育"
鈦鼎科技股份有限公司,"【自由、舒適、溫馨的工作環境】
公司坐落於永寧捷運站2號出口旁，交通便利，通勤上班好位置！
寬敞的辦公環境，讓你隨時與夥伴對話交流！

【快樂工作~幸福企業!  我們有，別人不一定有~】

1.週一~週五9:00-18:00, 9:30~18:30   (30分鐘彈性上下班)，見紅就放！
2.給薪事假(優於勞基法)：一到職 →給薪事假3天。
3.別人補班，我們放假。
4.除勞健保外，另提供團保，為鈦鼎人多一分保障(配偶、子女亦可同享)。
5.工作環境，辦公室舒適明亮乾淨。
6.供應免費咖啡零食。
7.工作氣氛，年輕團隊氣氛融洽好溝通。
8.年終獎金、績效獎金、三節禮金、結婚禮金、生育禮金、住院慰問金......。
9.每年都有調薪機會，希望給予久任的員工更多支持！
10.國內旅遊、國外旅遊、員工聚餐、尾牙。"
富邦人壽保險股份有限公司_南鑫通訊處(翁瑞聰)(核准文號110A01號),"行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制
度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_富白通訊處(核准文號110A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
富邦人壽保險股份有限公司_富學二通訊處(林逸凡)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
太聯事業股份有限公司,"1. 在職產業之教育訓練與專業資源、協會進修課程補助
2. 公司免費提供每日營養午餐，下午不定期備有當季水果、點心自由取用
3. 每年定期舉辦之國際電子與相關產業參展，拓展行銷與產業視野
4. 依照勞基法規定、週休二日

產業累積之在職教育規劃，培養為國際電子科技產業知識人才之餘，
完整的拓展計畫，充分投入，皆有升職計畫成為管理將帥，成就事業。
善用國際行銷力，本公司正招募菁英夥伴，
期待你/妳的加入與投入，共同歡迎精彩人生！"
詮瑩國際有限公司,
可樂旅遊_康福旅行社股份有限公司,"1. 為同仁投保團體保險。
2. 每三年一次之員工身體健康檢查。
3. 提供同仁中秋節、端午節之節慶禮品及禮金。
4. 提供同仁結婚及生育禮金。
5. 關心同仁身心健康，總公司提供按摩師舒壓服務。
6. 依照同仁表現及年資，提供相關旅遊津貼補助。
7. 各部門不定期舉辦國內(外)員工旅遊活動，凝聚可樂人向心力；一起遊覽世界的美好。
8.獎勵同仁，不定期招待主管跟績優員工出國旅遊。
9. 同仁訂購國內(外)旅遊商品、飯店、票券等，得享員工優惠價。
10. 各部門不定期舉辦聚餐、KTV歡唱、打保齡球等團康活動。
11. 總公司、分公司各自組成優質且多樣化社團活動(如：登山社、單車社、有氧運動社、羽球社等)。
12. 就新人入職、在職同仁專業技能培養/提升、領隊訓練等，提供完善且周延之人才養成計畫。
13.享有國內外輪調及海外派駐機會，可多面項學習旅行業專業技能。
14. 就服務年資連續滿一年之同仁：
(1) 舉辦春酒體恤員工整年辛勞，另有摸彩活動，提供豐富獎項且人人有獎(包括各國家來回機票、飯店住宿券、蘋果3C商品、百貨公司禮劵、獎金不等)。
(2) 舉辦年度表揚大會，就表現優良之同仁，頒發獎金、獎項、並宣達晉升人員。
15. 總公司、分公司各自與多家特約商店合作，同仁到店消費、飲食、娛樂等，均享有優惠價。"
年代網際事業股份有限公司,"「獎 金 福 利」：員工生日禮金、三節禮金
「休 假 福 利」：週休二日、男性員工陪產假、育嬰假、生理假、年假
「保 險 福 利」：勞保、健保、意外險、壽險、員工/眷屬團保、員工體檢、員工撫恤、員工公出特別保險、員工及眷屬住院慰問金、勞退提撥金
「交 通 福 利」：上下班車資補助
「補 助 福 利」：員工結婚補助、生育補助、員工在職教育訓練、員工國內、外進修補助、員工手機配發或補助、員工退休規劃（包括退休金及退休後之福利等）、員工及眷屬喪葬補助、有哺乳室及合作托兒中心"
四零四科技股份有限公司,"1. 落實經營成果共享理念
　　--年度績效獎金 　　
        --員工分紅
2. 建立專職文化福利組織
　　-- 擴大員工福利政策及社會公益活動執行
　　-- 發展同仁第二職能，做整體職涯規劃
3. 給予同仁多重保障與照顧
　　-- 提供勞保、健保及團體保險
4. 鼓勵同仁出國旅遊，增廣見聞
　　-- 提供高額國外旅遊特別補助金
5. 豐富同仁的生活
　　-- 成立員工俱樂部辦理年度國內旅遊及慶生活動
       -- 每周一第一個小時為讀思樂時間，培養人文思維拓展視野
6. 培養同仁工作以外的興趣
　　-- 專案提撥社團活動經費，同仁可自組社團申請補助
             ex: 羽球社、單車社、山野社、瑜珈社、籃球社、壘球社、熱舞社、攝影社、靜心社...
7. 充實同仁工作知識與技能
　　-- 內外部教育訓練
        -- 工作輪調機會
8. 週休二日及優於勞基法之休假制度"
EDOM_益登科技股份有限公司,"1.	具競爭力的薪酬福利和績效獎金。
2.	豐富的產品培訓與輔導。
3.	完整的保險規劃(勞保、健保、勞工退休金提撥、團險、旅平險)。
4.	貼心的關懷計畫(定期健康檢查、提供停車位、通訊/交通補助、祝賀/慰問金)。
5.	專業的職涯規劃與職務輪調。
6.	精彩的公司活動(尾牙、春酒、家庭日活動、員工旅遊及各式社團活動)。"
香港商開雲亞太股份有限公司台灣分公司,"- 優於勞基法的休假制度 (新進同仁試用期滿即享有年假；每年不扣薪病假7天)。
- 彈性上下班時間(08:00~19:00為彈性調整上下班時間；僅適用於辦公室同仁)
- 除法定勞保、健保及退休金提撥之外，另為員工和眷屬規劃完善的團體保險。 
- 春節、中秋、端午節金及生日禮金。
- 結婚、生育、喪葬津貼。 
- 完善的健檢制度。
- 除內部定期舉辦教育訓練之外，另提供外部語文訓練補助及集團多元化的線上課程，鼓勵同仁進修。
- 豐富多元的活動：定期舉辦慶生會及不定期舉辦各式主題聚會等。 
- 員工海內外購物優惠。
- 各項福利制度仍依各品牌規範有所不同"
富邦人壽保險股份有限公司_富品通訊處(吳孟昇)(核准文號109A01號),"行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、
休假制&#64001;、各類&#64008;銷津貼、增員獎&#63754;、&#63886;終獎&#63754;、節慶獎&#63754;、業務競賽獎&#63871;及其旅遊活動；2.
富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補
助、0~6歲子女育兒補助等福利措施。"
順昶塑膠股份有限公司,"- 注重身心健康 -
(1) 除依法應提供之勞健保、勞退外，另有團體保險
(2) 定期健康檢查與醫生檢測

- 重視知識技能的養成教育 -
(1) 集團的豐富資源，提供多樣的內外部訓練課程與專業講座
(2) 集團經理人的成功分享與經驗傳承
(3) 線上語言學習補助
(4) 外訓專業課程補助
(5) HR圖書室：提供各類管理書籍服務同仁借閱，以充實大家的專業知識與管理技能

- 獎金福利制度 -
(1) 年終獎金
(2) 年度調薪
(3) 節慶餐會
(4) 節慶禮金／品
(5) 年終與開工餐敘
(6) 不定時餐敘／點心／飲料
(7) 婚、喪、喜慶補助金
(8) 服務年資獎品
(9) 年度員工旅遊

- 休憩空間_總公司 -
(1) 公司內有茶水間(提供咖啡&茶包)、書報雜誌區、健身間、淋浴間，提供同仁在忙碌之餘，不忘讓自己小憩一番，到這些區域走走，適時得到充分的放鬆與休息。
(2) 員工餐廳則提供了健康且多樣化的餐飲與舒適寬敞的用餐環境，讓同仁免於外出奔波的困擾。"
富邦人壽保險股份有限公司_富範通訊處(陳憲修)核准文號110A01號,行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
KPMG_安侯建業聯合會計師事務所,"1.順暢的升遷管道
2.專業/語言訓練課程
3.依學經歷及專業資格從優敘薪
4.年終獎金、績效獎金、激勵獎金
5.團體住院醫療險、意外醫療險、意外險、定期壽險及癌症險(事務所全額負擔保費)
6.配置筆記型電腦
7.群組內手機互打免費
8.會計師、律師考試溫書假/公假
9.專業執照獎勵金
10.生育津貼、婚喪津貼
11.健康檢查補助
12.TOEIC報名費補助
13.夜間計程車資補助
14.陪產假、育嬰假、特休假、資深年資假
15.職福會活動(不定期舉辦慶生會、聚餐活動、旅遊活動等)
16.社團活動(登山社、壘球社等)
17.忙季關懷活動
18.全年視障按摩服務
19.女性員工集乳室
20.同仁專屬咖啡吧
21.特約廠商之優惠方案"
仁纖實業股份有限公司,"設有員工餐廳
年終獎金制度
員工旅遊活動
勞健保制度"
味全食品工業股份有限公司,"【正職同仁】
1. 健全的升遷與調薪制度、年終獎金、激勵獎金等
2. 完整的教育訓練
3. 員工團體保險
4. 生育、醫療、婚喪、本人及子女教育補助等
5. 旅遊活動、慶生會、康樂/藝文活動、簽約廠商優惠
6. 三節贈品、福利點數補助(可換公司乳品飲料等數十種產品)
7. 資深員工紀念金幣(純金打造)

【兼職同仁】
1. 員工團體保險
2. 表現優秀同仁有優先轉正職機會"
華電聯網股份有限公司,"薪資制度
★勞、健保及團體保險
★視公司營運狀況提供年終獎金、績效獎金、生日禮金 
福利補助 
★停車位補助
★提供溫馨小點、膠囊咖啡
★婚喪補助及生育補助 
★手機通話費與筆電購買補助 
★暢通的升遷制度及穩定調薪機制  
健康休閒
★定期醫師駐診服務
★定期員工健康檢查 
★女性同仁專屬哺乳室 
★不定期舉辦國內外旅遊、電影包場
★華電家庭日
教育訓練 
重視員工職涯發展，鼓勵員工在職訓練、進修補助，積極取得各項專業認證。"
彩源企業股份有限公司,"◆ 獎金/禮品類
	1.三節獎金/禮品
        2.員工生日禮金

◆ 保險類
	1.勞健保
	2.員工團保
        3.員工公出特別保險

◆ 請 / 休假制度
	1.週休二日(海外員工採責任制,不含概)
	2.特休/年假
	3.婚假
	4.陪產假
	
◆ 其他
        1.員工在職教育訓練
        2.不定期舉辦員工活動"
富邦人壽保險股份有限公司_富學通訊處(呂若萍)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
美商宏智國際顧問有限公司台灣分公司,"◆ 獎金 / 禮品：年終獎金、三節禮金/禮品
◆ 保險類：勞保/健保/員工團保
◆ 制度類：績效獎金/完整的教育訓練/精緻健檢
◆ 請 / 休假制度：除了法令規定假別外，另提供優於勞基法的特休 (新人第一年12天)/帶薪病假/帶薪事假/特殊假日放假:教師節、聖誕節
◆ 員工活動：Outing/員工旅遊/家庭日/優良員工獎金/春酒/尾牙/聖誕節活動/旺年會"
三順製衣股份有限公司,"◆ 獎金/禮品類
	1.年終獎金
	2.三節獎金/禮品
◆ 休閒類
	1.國內旅遊
	2.國外旅遊
	3.部門聚餐
        4. 慶生
◆ 制度類
	1.完整的教育訓練
◆ 請/休假制度
	1.週休二日
	2.特休/年假
	3.陪產假
        4. 生理假
◆ 補助類
	1.結婚禮金
	2.旅遊補助
        3.活動補助
        4. 每月下午茶"
遠東國際商業銀行股份有限公司,"1. 享勞、健、團保   
2. 固定提撥勞退金 
3. 員工優惠存款   
4. 員工房屋優惠貸款、消費性優惠貸款
5. 年終獎金、員工酬勞  
6. 員工持股信託
7. 福委會各項活動及補助   
8. 定期免費員工健康檢查 
9. 週休二日"
富邦人壽保險股份有限公司_嘉圓通訊處-吳宛芸(核准文號110A01),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富學通訊處(陳修豪)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
群益金鼎證券股份有限公司,"＊ 公司福利制度：
01. 週休二日
02. 年終獎金
03. 節慶獎金 (非業務人員) / 業績獎金 (業務人員)
04. 教育訓練 (員工教育訓練費補助 / 金融專題講座 / E-learning 系統)
05. 專業證照獎勵金
06. 完善的升遷制度
07. 團體保險 (壽險、意外險、意外醫療險)
08. 定期員工健康檢查
09. 視障按摩服務
10.員工康樂暨公益性社團補助
＊ 福委會福利措施：
01. 各項津貼 (旅遊、結婚、生育、住院、喪葬)
02. 特約商品 / 商店優惠
03. 優惠電影票選購"
香港商科林利康研究有限公司台灣分公司,"1：人性化移動辦公場景。
2：完善的帶薪休假、福利機制：
 每年一次健康體檢；豐富的節日關懷，如：中秋節/端午節禮物、生日禮物、結婚禮金、生育禮金等； 每年的公司旅遊假、年會等。"
台業公寓大廈管理維護股份有限公司,"◆ 獎金 / 禮品類
1.年終/績效獎金
2.三節禮卷/禮品
◆ 保險類
1.勞保
2.健保
3.勞退
◆ 補助類
1.結婚補助
2.生育補助
3.進修補助
4.喪葬補助
5.傷病補助"
富邦人壽_南嘉通訊處(陳志明)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_桃禧通訊處(林亞萍-核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
詮鼎科技股份有限公司,"1.團體保險及勞、健保、勞退提撥
2.每週上班五天
3.教育訓練
4.手機通話費、交通費補助（外勤人員及協理級(含)以上主管）
5.季、年績效獎金、員工持股信託(年資滿一年)
6.人性化管理
7.定期健康檢查
8.職工福利委員會
    →旅遊補助
    →尾牙摸彩活動
    →婚喪喜慶補助
9.集哺乳室"
宜鼎國際股份有限公司,"◎激勵性的薪資獎酬制度
年終獎金：依據公司當年度實際經營成果及個人績效表現發放年終獎金。
員工分紅：每年依公司獲利盈餘及個人績效表現配發現金紅利。
績效獎金：依部門屬性的不同，各有其績效獎勵，例如: 研發獎金、業績獎金等。
調薪制度：每年依公司營運成果及個人績效調薪。

◎快樂職場 
三節（勞動/中秋/端午）及生日購物禮卷
結婚津貼、喪葬費用補助
新生兒0-6歲育兒津貼，每月補助薪資*6%
鼓勵生育津貼（第二胎以上）加發30,000元
勞健保、團保、家屬保險優惠方案
員工急難協助方案
家遭變故學生助學金
女性生理假、產檢假；男性陪產假
駐廠廠護及醫師健康諮詢、員工健檢
專用哺乳室及其相關設備
多益TOEIC考試報名費補助

◎生活育樂
部門聚餐、家庭日活動、廠慶活動、盛大的年度尾牙活動
多元社團活動補助（漁趣社/ 籃球社/ 桌球社/ 桌遊社...）
各式競賽及獎金提供（攝影比賽/ 桌球比賽/ 籃球比賽...）
員工旅遊補助
音樂、藝術、理財、健康講座
藝文走廊"
華泰商業銀行股份有限公司,"◎給假
  1.特別休假：第一年依過去工作經驗年資核予休假天數。
  2.男性陪產假5天
  3.女性同仁生理假
  4.家庭照顧假
◎行員存、貸款優惠
◎跨行提款、轉帳手續費優惠
◎結婚、生育、喪弔、子女教育、旅遊聚餐及社團補助
◎語文學習、考照、進修等費用補助
◎勞保、健保、員工及眷屬團體保險
◎提供制服
◎免費定期健康檢查
◎年終獎金、三節獎金、生日禮物
◎完整的教育訓練、身心健康講座
◎完善績效考核制度及升遷管道"
